선명(호선),역명,"게이트내외(내:0,외:1)"
1,소요산,1
1,동두천,1
1,보산,1
1,지행,1
1,덕정,1
1,양주,1
1,녹양,1
1,가능,1
1,의정부,1
1,회룡,1
1,망월사,2
1,도봉산,1
1,도봉,0
1,방학,0
1,창동,1
1,녹천,0
1,월계,0
1,광운대,1
1,석계,0
1,신이문,0
1,회기,1
1,청량리(서울시립대입구),1
1,제기동,0
1,신설동,1
1,동묘앞,0
1,동대문,1
1,종로5가,1
1,종로3가,0
1,종각,1
1,시청,1
1,용산,0
1,노량진,1
1,대방,1
1,신길,1
1,영등포,0
1,신도림,0
1,구로,0
1,구일,0
1,개봉,0
1,오류동,0
1,온수,1
1,역곡,1
1,소사,1
1,부천,1
1,중동,0
1,송내,0
1,부개,1
1,부평,1
1,백운,1
1,동암,1
1,간석,0
1,주안,2
1,도화,1
1,제물포,1
1,도원,0
1,동인천,1
1,인천,1
1,가산디지털단지,1
1,독산,1
1,금천구청,1
1,석수,0
1,관악,0
1,안양,1
1,명학,1
1,금정,0
1,군포,1
1,당정,1
1,의왕,1
1,성균관대,1
1,화서,0
1,수원,0
1,세류,1
1,병점,1
1,세마,1
1,오산대,1
1,오산,1
1,진위,1
1,서정리,1
1,지제,1
1,성환,1
1,직산,1
1,두정,1
1,천안,1
1,봉명,1
1,쌍용(나사렛대),1
1,아산,1
1,배방,1
1,온양온천,1
1,신창(순천향대),1
2,시청,2
2,을지로입구,1
2,을지로3가,1
2,신당,1
2,상왕십리,1
2,왕십리,1
2,한양대,1
2,뚝섬,1
2,성수,1
2,건대입구,0
2,구의(광진구청),1
2,강변(동서울터미널),1
2,잠실나루,1
2,잠실새내,1
2,종합운동장,1
2,선릉,1
2,역삼,1
2,강남,0
2,교대(법원·검찰청),1
2,서초,1
2,방배,1
2,사당,1
2,낙성대,1
2,서울대입구(관악구청),1
2,봉천,1
2,신림,0
2,신대방,0
2,구로디지털단지,0
2,신도림,2
2,문래,1
2,영등포구청,0
2,당산,0
2,합정,1
2,홍대입구,1
2,신촌,1
2,이대,1
2,아현,1
2,충정로(경기대입구),1
2,용답,1
2,용두(동대문구청),0
2,신설동,0
2,도림천,1
2,양천구청,0
2,신정네거리,1
3,대화,1
3,주엽,1
3,정발산,1
3,마두,1
3,백석,1
3,대곡,1
3,화정,1
3,원당,1
3,원흥,1
3,삼송,1
3,지축,0
3,연신내,0
3,불광,1
3,녹번,1
3,홍제,1
3,독립문,0
3,경복궁(정부서울청사),0
3,안국,1
3,종로3가,0
3,을지로3가,0
3,충무로,0
3,동대입구,0
3,약수,0
3,금호,0
3,옥수,2
3,압구정,1
3,신사,1
3,잠원,0
3,교대(법원·검찰청),1
3,남부터미널(예술의전당),0
3,양재(서초구청),0
3,도곡,1
3,학여울,1
3,대청,0
3,일원,1
3,수서,0
3,가락시장,2
3,오금,0
4,당고개,1
4,상계,0
4,노원,0
4,수유(강북구청),1
4,미아사거리,1
4,길음,1
4,성신여대입구(돈암),1
4,한성대입구(삼선교),1
4,혜화,1
4,동대문,0
4,동대문역사문화공원,2
4,충무로,0
4,명동,0
4,회현(남대문시장),0
4,서울역,1
4,숙대입구(갈월),1
4,삼각지,0
4,신용산,1
4,이촌(국립중앙박물관),0
4,동작(현충원),0
4,총신대입구(이수),0
4,남태령,0
4,선바위,1
4,경마공원,1
4,대공원,1
4,과천,0
4,정부과천청사,0
4,인덕원,1
4,평촌,1
4,범계,1
4,금정,0
4,산본,1
4,수리산,1
4,상록수,1
4,한대앞,0
4,중앙,0
4,고잔,0
4,초지,0
4,안산,1
4,신길온천,1
4,정왕,1
4,오이도,1
5,개화산,1
5,김포공항,1
5,송정,1
5,발산,1
5,우장산,1
5,화곡,1
5,까치산,1
5,신정(은행정),0
5,목동,1
5,오목교(목동운동장앞),1
5,영등포구청,1
5,영등포시장,1
5,신길,1
5,여의도,1
5,마포,1
5,공덕,1
5,애오개,1
5,충정로(경기대입구),1
5,서대문,1
5,광화문(세종문화회관),1
5,종로3가(탑골공원),0
5,을지로4가,1
5,동대문역사문화공원,0
5,청구,1
5,신금호,0
5,행당,1
5,왕십리,0
5,마장,1
5,장한평,1
5,군자(능동),1
5,아차산(어린이대공원후문),1
5,광나루(장신대),1
5,천호(풍납토성),1
5,강동,1
5,길동,1
5,굽은다리(강동구민회관앞),1
5,명일,1
5,고덕,1
5,상일동,1
5,미사,1
5,하남풍산,1
5,둔촌동,0
5,올림픽공원(한국체대),1
5,방이,1
5,오금,0
5,개롱,1
5,거여,1
5,마천,1
6,역촌,1
6,불광,1
6,독바위,1
6,연신내,0
6,새절(신사),1
6,증산(명지대앞),1
6,디지털미디어시티,2
6,월드컵경기장(성산),2
6,마포구청,1
6,망원,1
6,합정,1
6,상수,1
6,광흥창(서강),1
6,대흥(서강대앞),1
6,공덕,1
6,효창공원앞,1
6,삼각지,1
6,녹사평(용산구청),1
6,이태원,1
6,한강진,0
6,버티고개,1
6,약수,1
6,청구,1
6,신당,1
6,동묘앞,1
6,창신,0
6,보문,1
6,안암(고대병원앞),2
6,고려대(종암),0
6,월곡(동덕여대),1
6,상월곡(한국과학기술연구원),1
6,석계,2
6,태릉입구,1
6,화랑대(서울여대입구),1
6,봉화산(서울의료원),1
6,신내,1
7,장암,1
7,도봉산,1
7,수락산,1
7,마들,1
7,노원,1
7,중계,1
7,하계,1
7,공릉(서울과학기술대),1
7,태릉입구,1
7,먹골,1
7,중화,1
7,상봉(시외버스터미널),0
7,면목,1
7,사가정,1
7,용마산,1
7,중곡,1
7,군자(능동),1
7,어린이대공원(세종대),0
7,건대입구,0
7,청담,1
7,논현,1
7,반포,1
7,내방,1
7,총신대입구(이수),2
7,남성,0
7,숭실대입구(살피재),1
7,상도,1
7,장승배기,1
7,신풍,1
7,대림(구로구청),1
7,철산,1
7,광명사거리,1
7,천왕,1
7,온수(성공회대입구),1
7,까치울,1
7,부천종합운동장,2
7,춘의,1
7,신중동,1
7,부천시청,1
7,상동,1
7,삼산체육관,1
7,굴포천,1
7,부평구청,2
8,암사,1
8,천호(풍납토성),1
8,강동구청,1
8,몽촌토성(평화의문),1
8,잠실(송파구청),1
8,석촌,1
8,송파,1
8,가락시장,1
8,문정,0
8,장지,1
8,복정,1
8,남한산성입구(성남법원·검찰청),1
8,단대오거리,1
8,신흥,1
8,수진,1
8,모란,1
9,개화,1
9,김포공항,2
9,공항시장,1
9,신방화,1
9,마곡나루,1
9,양천향교,1
9,가양,1
9,증미,1
9,등촌,1
9,염창,1
9,신목동,1
9,선유도,1
9,당산,0
9,국회의사당,2
9,여의도,2
9,샛강,1
9,노량진,2
9,노들,1
9,흑석(중앙대입구),1
9,동작(현충원),2
9,구반포,1
9,신반포,1
9,고속터미널,2
9,사평,1
9,신논현,1
9,언주,1
9,선정릉,1
9,삼성중앙,1
9,봉은사,1
9,종합운동장,1
